external_gene_name	E11	E12	E13	E14	E16	E18	P0	Adult
Rab17	72	20	45	52	65	47	17	11
Rab17	85	20	30	44	31	24	16	6
Lrrfip1	331	32	63	47	81	54	35	65
Lrrfip1	332	24	60	38	51	34	16	55
Rbm44	55	16	11	16	21	22	4	6
Ramp1	73	24	31	31	33	30	15	69
Ube2f	455	68	171	125	221	153	72	55
Scly	155	16	46	22	42	33	8	28
Espnl	104	15	42	34	26	30	13	6
Klhl30	66	8	42	28	23	28	6	18
Erfe	108	15	52	20	26	14	9	11
Ilkap	409	45	119	104	202	139	77	81
Hes6	740	305	643	643	889	548	173	49
Per2	270	44	98	72	145	87	38	99
Traf3ip1	192	26	54	44	45	24	10	27
Asb1	199	39	78	50	87	51	16	36
Twist2	274	19	52	21	36	33	10	9
Hdac4	856	198	427	338	717	505	201	200
Ndufa10	253	27	68	43	98	69	32	48
Olfr1416	32	18	24	18	18	17	6	4
Olfr1415	32	11	20	24	24	15	2	3
Olfr1413	47	17	27	14	33	15	6	3
Olfr1412	43	14	27	22	28	21	13	6
Olfr1411	51	15	31	18	21	15	10	7
Olfr12	57	16	32	33	30	20	5	4
Cops9	344	36	64	56	88	85	49	70
Otos	77	18	38	49	25	29	13	9
Gpc1	757	127	295	215	404	274	109	77
Ankmy1	80	22	50	51	102	77	30	23
Dusp28	155	45	98	74	163	85	42	65
Rnpepl1	259	51	138	120	268	138	74	113
Capn10	546	113	264	240	482	328	181	204
Gpr35	53	18	46	21	27	24	12	17
Gpr35	75	22	39	21	30	18	10	9
Aqp12	74	11	34	31	21	15	9	1
Kif1a	120	33	59	61	68	60	25	33
Kif1a	266	33	109	100	255	162	86	111
Agxt	54	16	41	15	22	17	6	2
Mab21l4	11	2	4	3	4	3	1	0
Mab21l4	5	2	3	3	2	3	0	2
Crocc2	69	17	31	27	34	34	10	7
Sned1	110	21	42	33	49	36	16	22
Mterf4	172	24	58	54	77	42	24	32
Ppp1r7	42	6	12	4	3	4	3	2
Pask	58	4	9	7	15	8	5	6
Ano7	83	21	42	27	29	22	7	6
Hdlbp	193	29	71	48	76	56	12	38
Sept2	62	9	31	26	30	23	2	11
Sept2	0	0	0	0	0	0	0	0
Hdlbp	0	0	0	0	0	0	0	0
Hdlbp	351	59	111	88	165	125	63	51
Farp2	206	46	98	74	98	67	23	24
Stk25	434	41	148	131	279	193	81	162
Bok	160	21	37	40	88	65	47	17
Atg4b	924	74	247	162	265	143	90	63
Dtymk	425	55	139	97	207	142	39	60
Ing5	568	105	239	205	398	232	86	58
Gal3st2	3	0	2	4	4	0	0	0
Gal3st2b	15	0	7	8	4	3	0	1
Gal3st2c	14	4	13	11	11	5	7	3
Neu4	47	15	26	16	24	17	8	13
Pdcd1	71	19	34	23	42	40	19	107
Fam174a	145	36	48	29	80	47	16	31
St8sia4	294	49	130	114	372	258	106	83
Slco4c1	57	15	30	20	40	31	20	35
Slco6c1	14	7	22	16	14	6	7	0
Gin1	573	37	132	127	255	159	67	71
Ppip5k2	418	61	143	130	298	167	87	82
Pam	16	1	4	1	3	1	3	0
Pam	0	0	3	0	3	2	0	0
Slco6d1	21	12	20	16	22	17	2	0
Cntnap5b	31	11	30	29	45	30	18	11
Cdh20	96	20	37	27	44	26	16	26
Rnf152	126	15	54	31	51	34	22	28
Relch	362	54	90	82	179	108	45	41
Tnfrsf11a	85	13	28	20	28	28	12	15
Zcchc2	324	33	89	47	98	63	34	71
Phlpp1	466	56	158	128	256	176	98	68
Bcl2	604	68	128	128	276	169	89	33
Kdsr	306	63	157	163	290	189	60	75
Vps4b	139	20	51	24	58	32	17	14
Serpinb5	19	11	27	25	33	20	9	5
Serpinb12	29	14	23	12	26	16	8	3
Serpinb12	21	8	19	9	23	24	6	3
Serpinb13	27	10	20	12	14	18	9	4
Serpinb3a	7	6	14	13	9	6	5	0
Serpinb3d	18	9	10	13	16	7	1	0
Serpinb3b	12	5	12	5	14	3	6	0
Serpinb3c	13	6	10	9	12	5	2	0
Serpinb11	34	23	24	7	23	15	12	3
Serpinb7	29	15	13	8	14	12	6	0
Serpinb2	1	1	1	2	2	5	1	0
Serpinb2	1	2	3	1	4	3	1	1
Serpinb8	56	13	17	28	70	34	11	24
Cdh7	132	12	45	21	36	24	3	15
Cdh7	0	0	0	0	0	0	0	0
Cdh7	94	20	60	46	53	41	13	29
Cdh19	42	6	3	10	5	4	3	11
Dsel	180	33	75	72	163	98	50	40
Cntnap5a	23	13	22	24	41	32	17	23
Tsn	385	65	185	123	263	163	93	62
Nifk	126	21	56	30	54	36	18	13
Clasp1	736	116	253	181	387	225	89	98
Tfcp2l1	53	16	38	21	27	21	15	10
Gli2	1117	146	252	210	327	126	31	19
Inhbb	84	17	40	55	123	63	22	13
Ralb	162	36	45	36	50	48	27	31
Epb41l5	150	39	79	65	74	60	24	23
Ptpn4	918	114	354	241	488	270	128	97
Tmem177	160	23	55	43	84	57	37	35
Cfap221	83	22	26	31	37	34	8	7
